Vereinsname,Vereinskürzel,Vereinsgründung,Name,Geburtsdatum,Typ,Position,Veranstaltungsname,Veranstaltungsdatum,Veranstaltungsort,Ortsbeschreibung
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Paula,01.05.2003,Extern,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Julia,23.03.2001,Mitarbeiter,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Luise,11.03.2002,Mitarbeiter,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Johannes,26.09.1993,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Henri,17.05.1994,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Leonard,11.06.2004,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Maja,11.09.1996,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Mila,11.02.1997,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Carla,12.10.2004,Extern,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Karl,11.05.2003,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Michael,23.02.2002,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
